id;Consent_000_RAW;Consent_001_RAW;ExperimentsIssues_000_RAW;Goodbye_001_RAW;ExperimentsIssues_001_RAW;ExperimentsIssues_003_RAW;ExperimentsIssues_002_RAW;ExperimentsIssues_005_RAW;ExperimentsIssues_004_RAW
hcynrw1w3as9nbm2vcj2;;;NA;NA;NA;NA;NA;NA;NA
negx101x8pyt3m1pey56;;;NA;NA;NA;NA;NA;NA;NA
nfkdpeke9upnr441gjol;;;NA;NA;NA;NA;NA;NA;NA
lp4xgkzfl08a9g4ln6cy;;;NA;NA;NA;NA;NA;NA;NA
hlp9o34g0xpdt7n2vc2z;;;NA;NA;NA;NA;NA;NA;NA
esphjqrvfssms15z58lf;;;NA;NA;NA;NA;NA;NA;NA
2pqked5vawp4soxrdwx9;;;;um3zyv5lxwpt74dqpllp;Never;No, but my Research assistant is;NA;NA;NA
a3mxta3zg3ddh67swze1;;;;6pxggjgexvw1vy3bnsgn;Never;No, but my Research assistant is;NA;NA;NA
9dgvdb8jnmkr1vddfgvf;;;NA;NA;NA;NA;NA;NA;NA
oh58scusso9f6rtph8bk;;;NA;NA;NA;NA;NA;NA;NA
hjfzle0c95r3owqk9wkb;;;NA;NA;NA;NA;NA;NA;NA
071jagnt41ukona9m914;;;NA;NA;NA;NA;NA;NA;NA
s2xakns96m77roevlsao;;;NA;NA;NA;NA;NA;NA;NA
dg1bytth91ycks23anmp;;;NA;NA;NA;NA;NA;NA;NA
6jbc0fa097qswtmh61gr;;;;xzbtblarnyn79rjef4mz;Sometimes;NA;My friends do not have errors in their protocols;NA;NA
hgprnh8su6c7qt4jhng0;;;NA;NA;NA;NA;NA;NA;NA
ojnumx2saz28r671fgws;;;;tmw3wu68wyfhwljdhaqr;Never;No, but my Research assistant is;NA;Early Career Academic;NA
199;;;;qwsahxhv8mlrnw6qyqy2;Never;No, but my Research assistant is;NA;Senior academic;NA
197;;;;e1lu6ff0lft741k5srxc;Always;NA;My friends do not have errors in their protocols;Postdoc or non-ternure track Academic;NA
198;;;;cnr2x2vem5p1faqr4zzl;Rarely;NA;"Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Other";Postdoc or non-ternure track Academic;qC1jq7GW1yAsZBMA8r1ybbYVXQDIyQw9GS
200;;;;14ef3ok2y8lwy76tq3dq;Rarely;NA;"Data not what we expected; Data preparation was harder than it could have been; Other";Student (Master, PhD,...);0uxLQZ8O46hw3f37DqF5VFxjTQu7g1XVwhOEnlrljFkvd4v0TesL2NIucC7kvPxSBQ6eAk3XGQ0pVZ
195;;;;4hojljzgwwskoxzjymqx;Always;NA;"Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Student (Master, PhD,...);NA
194;;;;j2hjq3wqvut8x2qm0hmr;Always;NA;"Errors in the coding of items; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Other";Postdoc or non-ternure track Academic;ruPSIbXtBmvxz0BuJxpjrnI9jpbqzObkxfXKq04Rfh
196;;;;o2eszd27mdvj0s5coed8;Rarely;NA;"Spelling errors; Important content errors; Errors so bad that my friend had to start over; Other";Early Career Academic;3iPXsR2d9P67ED1EGtKjaDtTT8qdtsL7xJw7UlaE65s93tI4PvQG7J5bI3cyT
192;;;;8qbs3e4p93f6k0hwebz0;Sometimes;NA;"Spelling errors; Important content errors; Match between hypotheses and data not clear";Senior academic;NA
