id;Consent_DIRt;ExperimentsIssues_IssuesExperiments_DIRd;ExperimentsIssues_FrequencyIssues_DIRd;ExperimentsIssues_WhoIsGod_DIRd;ExperimentsIssues_Experience_DIRd;Goodbye_DIRt
10;0;"My friends do not have errors in their protocols; Other; oj9xkqfOeJblGknQcugtS8ZySWXbOpupRlW9nzNl8XpDdxl3oxhL10prgxn8iBCzq6wPp";Always;NA;1;DONE
100;0;"Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; NA";Sometimes;NA;4;DONE
101;0;"NA; NA";Never;My research assistant;3;DONE
102;0;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; VODIaUvHlrlqP3Zks1cb4PLCqGpNoJRr6yBw9J";Sometimes;NA;2;DONE
103;0;"Important content errors; Data preparation was harder than it could have been; My friends do not have errors in their protocols; NA";Rarely;NA;2;DONE
104;0;"Spelling errors; Important content errors; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; ExptIuT9TLmuIaSABnqTQhV5Pq9jSvJqasWVPjEXdYlJXhorJhaiNK4P4724XO6h3a1oexUNgeMHo329R2NzdBe92l";Often;NA;2;DONE
105;0;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Sometimes;NA;3;DONE
106;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; grxqUDs8iGKDV3aSv";Often;NA;1;DONE
107;0;"Spelling errors; Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; 9J5a5My0kJm7UiqP9";Sometimes;NA;1;DONE
108;0;"Spelling errors; Important content errors; NA";Often;NA;1;DONE
109;0;"Important content errors; My friends do not have errors in their protocols; NA";Sometimes;NA;1;DONE
11;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; TuqWRL0";Rarely;NA;2;DONE
110;0;"Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other; HTUHr6EkNv6F8Ooazmce6si8KInToC7uVUKDs7CsM2mkiG8EG2dshdpnN9uwqPUEAc1H8msjTkbmjGy9EeRZQuRUs3q8G9";Often;NA;2;DONE
111;0;"Errors in participants balancing to conditions; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Often;NA;2;DONE
112;0;"NA; NA";Never;Me;2;DONE
