id;Consent_000_RAW;Consent_001_RAW;ExperimentsIssues_000_RAW;ExperimentsIssues_001_RAW;ExperimentsIssues_003_RAW;ExperimentsIssues_002_RAW;ExperimentsIssues_005_RAW;ExperimentsIssues_004_RAW;Goodbye_001_RAW
hcynrw1w3as9nbm2vcj2;NA;NA;NA;NA;NA;NA;NA;NA;NA
negx101x8pyt3m1pey56;NA;NA;NA;NA;NA;NA;NA;NA;NA
nfkdpeke9upnr441gjol;NA;NA;NA;NA;NA;NA;NA;NA;NA
lp4xgkzfl08a9g4ln6cy;NA;NA;NA;NA;NA;NA;NA;NA;NA
hlp9o34g0xpdt7n2vc2z;NA;NA;NA;NA;NA;NA;NA;NA;NA
esphjqrvfssms15z58lf;NA;NA;NA;NA;NA;NA;NA;NA;NA
2pqked5vawp4soxrdwx9;NA;NA;;"{""""Q0"""":"""" Never""""}";"{""""Q0"""":"""" No, but my Research assistant is""""}";NA;NA;NA;um3zyv5lxwpt74dqpllp
a3mxta3zg3ddh67swze1;NA;NA;;"{""""Q0"""":"""" Never""""}";"{""""Q0"""":"""" No, but my Research assistant is""""}";NA;NA;NA;6pxggjgexvw1vy3bnsgn
9dgvdb8jnmkr1vddfgvf;NA;NA;NA;NA;NA;NA;NA;NA;NA
oh58scusso9f6rtph8bk;NA;NA;NA;NA;NA;NA;NA;NA;NA
hjfzle0c95r3owqk9wkb;NA;NA;NA;NA;NA;NA;NA;NA;NA
071jagnt41ukona9m914;NA;NA;NA;NA;NA;NA;NA;NA;NA
s2xakns96m77roevlsao;NA;NA;NA;NA;NA;NA;NA;NA;NA
dg1bytth91ycks23anmp;NA;NA;NA;NA;NA;NA;NA;NA;NA
6jbc0fa097qswtmh61gr;NA;NA;;"{""""Q0"""":"""" Sometimes""""}";NA;"{""""Q0"""":[""""&nbsp;My friends do not have errors in their protocols""""]}";NA;NA;xzbtblarnyn79rjef4mz
hgprnh8su6c7qt4jhng0;NA;NA;NA;NA;NA;NA;NA;NA;NA
ojnumx2saz28r671fgws;NA;NA;;"{""""Q0"""":"""" Never""""}";"{""""Q0"""":"""" No, but my Research assistant is""""}";NA;"{""""Q0"""":"""" Early Career Academic""""}";NA;tmw3wu68wyfhwljdhaqr
199;NA;NA;;"{""""Q0"""":"""" Never""""}";"{""""Q0"""":"""" No, but my Research assistant is""""}";NA;"{""""Q0"""":"""" Senior academic""""}";NA;qwsahxhv8mlrnw6qyqy2
