id,Consent_000_RAW,Consent_001_RAW,Consent_000_DIR,Consent_001_DIR,Consent_RAW_NA,Consent_DIR_NA,Consent_DIRt
071jagnt41ukona9m914,,,NA,NA,0,2,0
10,,,NA,NA,0,2,0
100,,,NA,NA,0,2,0
101,,,NA,NA,0,2,0
102,,,NA,NA,0,2,0
103,,,NA,NA,0,2,0
104,,,NA,NA,0,2,0
105,,,NA,NA,0,2,0
106,,,NA,NA,0,2,0
107,,,NA,NA,0,2,0
108,,,NA,NA,0,2,0
109,,,NA,NA,0,2,0
11,,,NA,NA,0,2,0
110,,,NA,NA,0,2,0
111,,,NA,NA,0,2,0
112,,,NA,NA,0,2,0
113,,,NA,NA,0,2,0
114,,,NA,NA,0,2,0
115,,,NA,NA,0,2,0
116,,,NA,NA,0,2,0
117,,,NA,NA,0,2,0
118,,,NA,NA,0,2,0
119,,,NA,NA,0,2,0
12,,,NA,NA,0,2,0
120,,,NA,NA,0,2,0
121,,,NA,NA,0,2,0
122,,,NA,NA,0,2,0
123,,,NA,NA,0,2,0
124,,,NA,NA,0,2,0
125,,,NA,NA,0,2,0
126,,,NA,NA,0,2,0
127,,,NA,NA,0,2,0
128,,,NA,NA,0,2,0
129,,,NA,NA,0,2,0
13,,,NA,NA,0,2,0
130,,,NA,NA,0,2,0
131,,,NA,NA,0,2,0
132,,,NA,NA,0,2,0
133,,,NA,NA,0,2,0
134,,,NA,NA,0,2,0
135,,,NA,NA,0,2,0
136,,,NA,NA,0,2,0
137,,,NA,NA,0,2,0
138,,,NA,NA,0,2,0
139,,,NA,NA,0,2,0
14,,,NA,NA,0,2,0
140,,,NA,NA,0,2,0
141,,,NA,NA,0,2,0
142,,,NA,NA,0,2,0
143,,,NA,NA,0,2,0
144,,,NA,NA,0,2,0
145,,,NA,NA,0,2,0
146,,,NA,NA,0,2,0
147,,,NA,NA,0,2,0
148,,,NA,NA,0,2,0
149,,,NA,NA,0,2,0
15,,,NA,NA,0,2,0
150,,,NA,NA,0,2,0
151,,,NA,NA,0,2,0
152,,,NA,NA,0,2,0
153,,,NA,NA,0,2,0
154,,,NA,NA,0,2,0
155,,,NA,NA,0,2,0
156,,,NA,NA,0,2,0
157,,,NA,NA,0,2,0
158,,,NA,NA,0,2,0
159,,,NA,NA,0,2,0
16,,,NA,NA,0,2,0
160,,,NA,NA,0,2,0
161,,,NA,NA,0,2,0
162,,,NA,NA,0,2,0
163,,,NA,NA,0,2,0
164,,,NA,NA,0,2,0
165,,,NA,NA,0,2,0
166,,,NA,NA,0,2,0
167,,,NA,NA,0,2,0
168,,,NA,NA,0,2,0
169,,,NA,NA,0,2,0
