id;Consent_000_RAW;Consent_001_RAW;Consent_000_DIR;Consent_001_DIR;Consent_RAW_NA;Consent_DIR_NA;Consent_DIRt;ExperimentsIssues_000_RAW;ExperimentsIssues_001_RAW;ExperimentsIssues_002_RAW;ExperimentsIssues_003_RAW;ExperimentsIssues_004_RAW;ExperimentsIssues_005_RAW;ExperimentsIssues_000_DIR;ExperimentsIssues_001_DIR;ExperimentsIssues_IssuesExperiments_DIRd;ExperimentsIssues_003_DIR;ExperimentsIssues_005_DIR;ExperimentsIssues_RAW_NA;ExperimentsIssues_DIR_NA;ExperimentsIssues_FrequencyIssues_DIRd;ExperimentsIssues_WhoIsGod_DIRd;ExperimentsIssues_Experience_DIRd;Goodbye_001_RAW;Goodbye_001_DIR;Goodbye_RAW_NA;Goodbye_DIR_NA;Goodbye_DIRt
071jagnt41ukona9m914;;;NA;NA;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;;;NA;NA;0;2;0;;Always;"My friends do not have errors in their protocols; Other";NA;oj9xkqfOeJblGknQcugtS8ZySWXbOpupRlW9nzNl8XpDdxl3oxhL10prgxn8iBCzq6wPp;Student (Master, PhD,...);;Always;"My friends do not have errors in their protocols; Other; oj9xkqfOeJblGknQcugtS8ZySWXbOpupRlW9nzNl8XpDdxl3oxhL10prgxn8iBCzq6wPp";NA;1;1;1;Always;NA;1;f1wjh61g9rr1hfq8k2tk;f1wjh61g9rr1hfq8k2tk;0;0;DONE
100;;;NA;NA;0;2;0;;Sometimes;"Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over";NA;NA;Senior academic;;Sometimes;"Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; NA";NA;4;2;2;Sometimes;NA;4;f7cm9a5olt0x5flycpzo;f7cm9a5olt0x5flycpzo;0;0;DONE
101;;;NA;NA;0;2;0;;Never;NA;No, but my Research assistant is;NA;Early Career Academic;;Never;"NA; NA";My research assistant;3;2;2;Never;My research assistant;3;xaecwa4swbl7wymhyrsu;xaecwa4swbl7wymhyrsu;0;0;DONE
102;;;NA;NA;0;2;0;;Sometimes;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;VODIaUvHlrlqP3Zks1cb4PLCqGpNoJRr6yBw9J;Postdoc or non-ternure track Academic;;Sometimes;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; VODIaUvHlrlqP3Zks1cb4PLCqGpNoJRr6yBw9J";NA;2;1;1;Sometimes;NA;2;xog9nxyasszcsut1r3lr;xog9nxyasszcsut1r3lr;0;0;DONE
103;;;NA;NA;0;2;0;;Rarely;"Important content errors; Data preparation was harder than it could have been; My friends do not have errors in their protocols";NA;NA;Postdoc or non-ternure track Academic;;Rarely;"Important content errors; Data preparation was harder than it could have been; My friends do not have errors in their protocols; NA";NA;2;2;2;Rarely;NA;2;pted5jrhfx239993t778;pted5jrhfx239993t778;0;0;DONE
104;;;NA;NA;0;2;0;;Often;"Spelling errors; Important content errors; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;ExptIuT9TLmuIaSABnqTQhV5Pq9jSvJqasWVPjEXdYlJXhorJhaiNK4P4724XO6h3a1oexUNgeMHo329R2NzdBe92l;Postdoc or non-ternure track Academic;;Often;"Spelling errors; Important content errors; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; ExptIuT9TLmuIaSABnqTQhV5Pq9jSvJqasWVPjEXdYlJXhorJhaiNK4P4724XO6h3a1oexUNgeMHo329R2NzdBe92l";NA;2;1;1;Often;NA;2;5cgtgtjklmn9kgy3n6f6;5cgtgtjklmn9kgy3n6f6;0;0;DONE
105;;;NA;NA;0;2;0;;Sometimes;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Early Career Academic;;Sometimes;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";NA;3;2;2;Sometimes;NA;3;mhrr3ox4y4qtnrnjz05x;mhrr3ox4y4qtnrnjz05x;0;0;DONE
106;;;NA;NA;0;2;0;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;grxqUDs8iGKDV3aSv;Student (Master, PhD,...);;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; grxqUDs8iGKDV3aSv";NA;1;1;1;Often;NA;1;80qgjy2qxph93kz397t8;80qgjy2qxph93kz397t8;0;0;DONE
107;;;NA;NA;0;2;0;;Sometimes;"Spelling errors; Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;9J5a5My0kJm7UiqP9;Student (Master, PhD,...);;Sometimes;"Spelling errors; Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; 9J5a5My0kJm7UiqP9";NA;1;1;1;Sometimes;NA;1;p1541kh703yq7rsdc68y;p1541kh703yq7rsdc68y;0;0;DONE
