filename,project,experiment,version,datetime,id,success,procedure,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,trialid,stimulus,button_pressed,response,question_order,input
38_Consent_original_2023-10-30T172150_hcynrw1w3as9nbm2vcj2.csv,38,Consent,original,2023-10-30T172150,hcynrw1w3as9nbm2vcj2,true,Consent,fullscreen,1,1071,0.0-1.0-0.0,,,,,,NA,NA,38_Consent_original_2023-10-30T172150_hcynrw1w3as9nbm2vcj2.csv
38_Consent_original_2023-10-30T172150_hcynrw1w3as9nbm2vcj2.csv,38,Consent,original,2023-10-30T172150,hcynrw1w3as9nbm2vcj2,,Consent,instructions,2,1708,0.0-2.0,"[{""""page_index"""":0,""""viewing_time"""":630}]",631,Consent_000,,,NA,NA,38_Consent_original_2023-10-30T172150_hcynrw1w3as9nbm2vcj2.csv
38_Consent_original_2023-10-30T172150_hcynrw1w3as9nbm2vcj2.csv,38,Consent,original,2023-10-30T172150,hcynrw1w3as9nbm2vcj2,,Consent,html-button-response,3,3475,0.0-3.0,,1755,Consent_001,"
        <div title=""""logo""""><p style=""""margin-bottom: 0.2in; line-height: 100%""""><img src=""""controllers/media/logo.png"""" name=""""UAI"""" align=""""bottom"""" width=""""158"""" height=""""59"""" border=""""0""""/></p></div>
        <div>
        <h3 class=""""western"""" align=""""center"""">Informed Consent</h3><br/>
        <b>Name of the project: </b>Experiment errors <br/>
        <b>Principal Researcher: </b>Gorka Navarrete, Centro de Neurociencia Social y Cognitiva (CSCN).<br/>
        <b>Goal: </b>To create a live example of how a jsPsychR survey and it's data preparation works.<br/><br/>
        <b>Procedure: </b>You will have to answer 2 or 3 questions about errors found in research protocols.<br/><br/>
        <b>Associated risks: </b>There are no risks associated with this study. Although by responding, you reveal private information, it will be used only for research purposes, protecting your privacy and confidentiality, since only grouped data will be analyzed and not individual data.<br/><br/>
         <b>Benefits: </b>There may be no immediate benefits to you as a result of participating in this study. However, the results will improve our understanding of what types of errors are more common in our research.<br/><br/>
        <b>Confidentiality: </b>By selecting """"I agree to participate"""", you give permission to the research team to analyze your data. However, all information produced in this research is confidential, and therefore will only be used for research purposes. We will not keep your name in our database, nor will there be any way to later associate the information you give us with your identity. The information we will use, both in reports and in articles derived from the study, will consist only of grouped data (for example, averages). Confidential information will be stored with a password and privately only on the computer of the responsible researcher. If you want more information or know the results of this study, you can contact the person responsible for the project (Gorka Navarrete, email: <a href=""""mailto:gorkang@gmail.com"""">gorkang@gmail.com</a>)<br/><br/>
        <b>Voluntariness: </b>Participation in this study is voluntary. You can withdraw whenever you wish without any negative consequences for this. Your withdrawal does not mean that you cannot participate in another of our studies in the future. If you have a claim or feel that your rights were violated by any of the people carrying out this study, you can contact the University Ethics Committee Universidad Adolfo Ibáñez, whose president is Paola Cañon in the phone number (562) 2331-1277, o the email: <a href=""""mailto:paola.canon.g@uai.cl"""">paola.canon.g@uai.cl</a>. <br/><br/>
        <em>When selecting “I agree to participate” you declare that you are willing to voluntarily participate in this research: </em>
        <BR><BR>
        </div>",0,NA,NA,38_Consent_original_2023-10-30T172150_hcynrw1w3as9nbm2vcj2.csv
38_Consent_original_2023-10-30T172301_negx101x8pyt3m1pey56.csv,38,Consent,original,2023-10-30T172301,negx101x8pyt3m1pey56,true,Consent,fullscreen,1,660,0.0-1.0-0.0,,,,,,NA,NA,38_Consent_original_2023-10-30T172301_negx101x8pyt3m1pey56.csv
38_Consent_original_2023-10-30T172301_negx101x8pyt3m1pey56.csv,38,Consent,original,2023-10-30T172301,negx101x8pyt3m1pey56,,Consent,instructions,2,1598,0.0-2.0,"[{""""page_index"""":0,""""viewing_time"""":936}]",936,Consent_000,,,NA,NA,38_Consent_original_2023-10-30T172301_negx101x8pyt3m1pey56.csv
38_Consent_original_2023-10-30T172301_negx101x8pyt3m1pey56.csv,38,Consent,original,2023-10-30T172301,negx101x8pyt3m1pey56,,Consent,html-button-response,3,2397,0.0-3.0,,796,Consent_001,"
        <div title=""""logo""""><p style=""""margin-bottom: 0.2in; line-height: 100%""""><img src=""""controllers/media/logo.png"""" name=""""UAI"""" align=""""bottom"""" width=""""158"""" height=""""59"""" border=""""0""""/></p></div>
        <div>
        <h3 class=""""western"""" align=""""center"""">Informed Consent</h3><br/>
        <b>Name of the project: </b>Experiment errors <br/>
        <b>Principal Researcher: </b>Gorka Navarrete, Centro de Neurociencia Social y Cognitiva (CSCN).<br/>
        <b>Goal: </b>To create a live example of how a jsPsychR survey and it's data preparation works.<br/><br/>
        <b>Procedure: </b>You will have to answer 2 or 3 questions about errors found in research protocols.<br/><br/>
        <b>Associated risks: </b>There are no risks associated with this study. Although by responding, you reveal private information, it will be used only for research purposes, protecting your privacy and confidentiality, since only grouped data will be analyzed and not individual data.<br/><br/>
         <b>Benefits: </b>There may be no immediate benefits to you as a result of participating in this study. However, the results will improve our understanding of what types of errors are more common in our research.<br/><br/>
        <b>Confidentiality: </b>By selecting """"I agree to participate"""", you give permission to the research team to analyze your data. However, all information produced in this research is confidential, and therefore will only be used for research purposes. We will not keep your name in our database, nor will there be any way to later associate the information you give us with your identity. The information we will use, both in reports and in articles derived from the study, will consist only of grouped data (for example, averages). Confidential information will be stored with a password and privately only on the computer of the responsible researcher. If you want more information or know the results of this study, you can contact the person responsible for the project (Gorka Navarrete, email: <a href=""""mailto:gorkang@gmail.com"""">gorkang@gmail.com</a>)<br/><br/>
        <b>Voluntariness: </b>Participation in this study is voluntary. You can withdraw whenever you wish without any negative consequences for this. Your withdrawal does not mean that you cannot participate in another of our studies in the future. If you have a claim or feel that your rights were violated by any of the people carrying out this study, you can contact the University Ethics Committee Universidad Adolfo Ibáñez, whose president is Paola Cañon in the phone number (562) 2331-1277, o the email: <a href=""""mailto:paola.canon.g@uai.cl"""">paola.canon.g@uai.cl</a>. <br/><br/>
        <em>When selecting “I agree to participate” you declare that you are willing to voluntarily participate in this research: </em>
        <BR><BR>
        </div>",0,NA,NA,38_Consent_original_2023-10-30T172301_negx101x8pyt3m1pey56.csv
38_Consent_original_2023-10-30T172715_nfkdpeke9upnr441gjol.csv,38,Consent,original,2023-10-30T172715,nfkdpeke9upnr441gjol,true,Consent,fullscreen,1,1052,0.0-1.0-0.0,,,,,,NA,NA,38_Consent_original_2023-10-30T172715_nfkdpeke9upnr441gjol.csv
38_Consent_original_2023-10-30T172715_nfkdpeke9upnr441gjol.csv,38,Consent,original,2023-10-30T172715,nfkdpeke9upnr441gjol,,Consent,instructions,2,4959,0.0-2.0,"[{""""page_index"""":0,""""viewing_time"""":3898}]",3899,Consent_000,,,NA,NA,38_Consent_original_2023-10-30T172715_nfkdpeke9upnr441gjol.csv
38_Consent_original_2023-10-30T172715_nfkdpeke9upnr441gjol.csv,38,Consent,original,2023-10-30T172715,nfkdpeke9upnr441gjol,,Consent,html-button-response,3,7075,0.0-3.0,,2104.2000000178814,Consent_001,"
        <div title=""""logo""""><p style=""""margin-bottom: 0.2in; line-height: 100%""""><img src=""""controllers/media/logo.png"""" name=""""UAI"""" align=""""bottom"""" width=""""158"""" height=""""59"""" border=""""0""""/></p></div>
        <div>
        <h3 class=""""western"""" align=""""center"""">Informed Consent</h3><br/>
        <b>Name of the project: </b>Experiment errors <br/>
        <b>Principal Researcher: </b>Gorka Navarrete, Centro de Neurociencia Social y Cognitiva (CSCN).<br/>
        <b>Goal: </b>To create a live example of how a jsPsychR survey and it's data preparation works.<br/><br/>
        <b>Procedure: </b>You will have to answer 2 or 3 questions about errors found in research protocols.<br/><br/>
        <b>Associated risks: </b>There are no risks associated with this study. Although by responding, you reveal private information, it will be used only for research purposes, protecting your privacy and confidentiality, since only grouped data will be analyzed and not individual data.<br/><br/>
         <b>Benefits: </b>There may be no immediate benefits to you as a result of participating in this study. However, the results will improve our understanding of what types of errors are more common in our research.<br/><br/>
        <b>Confidentiality: </b>By selecting """"I agree to participate"""", you give permission to the research team to analyze your data. However, all information produced in this research is confidential, and therefore will only be used for research purposes. We will not keep your name in our database, nor will there be any way to later associate the information you give us with your identity. The information we will use, both in reports and in articles derived from the study, will consist only of grouped data (for example, averages). Confidential information will be stored with a password and privately only on the computer of the responsible researcher. If you want more information or know the results of this study, you can contact the person responsible for the project (Gorka Navarrete, email: <a href=""""mailto:gorkang@gmail.com"""">gorkang@gmail.com</a>)<br/><br/>
        <b>Voluntariness: </b>Participation in this study is voluntary. You can withdraw whenever you wish without any negative consequences for this. Your withdrawal does not mean that you cannot participate in another of our studies in the future. If you have a claim or feel that your rights were violated by any of the people carrying out this study, you can contact the University Ethics Committee Universidad Adolfo Ibáñez, whose president is Paola Cañon in the phone number (562) 2331-1277, o the email: <a href=""""mailto:paola.canon.g@uai.cl"""">paola.canon.g@uai.cl</a>. <br/><br/>
        <em>When selecting “I agree to participate” you declare that you are willing to voluntarily participate in this research: </em>
        <BR><BR>
        </div>",0,NA,NA,38_Consent_original_2023-10-30T172715_nfkdpeke9upnr441gjol.csv
38_Consent_original_2023-10-30T173350_lp4xgkzfl08a9g4ln6cy.csv,38,Consent,original,2023-10-30T173350,lp4xgkzfl08a9g4ln6cy,true,Consent,fullscreen,1,2747,0.0-1.0-0.0,,,,,,NA,NA,38_Consent_original_2023-10-30T173350_lp4xgkzfl08a9g4ln6cy.csv
