id;Consent_000_RAW;Consent_001_RAW;ExperimentsIssues_000_RAW;ExperimentsIssues_001_RAW;ExperimentsIssues_002_RAW;ExperimentsIssues_003_RAW;ExperimentsIssues_004_RAW;ExperimentsIssues_005_RAW;Goodbye_001_RAW
2;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;hWfvHlnFbMffJuC2V8;Senior academic;7c7heboh7c5ogvn3czze
20;;;;Always;"Important content errors; Other";NA;HpdWj8ehSivFSwy7TYu8zw5VOuRpjoOg0p0CubNR2yQxtdycKLOm2kfAGVfylZqBGpgE28DTCi0NV0a9MemYE55If0CvvjKVkccD;Early Career Academic;9lvrgvpf5k8mwfd7y6ww
200;;;;Rarely;"Data not what we expected; Data preparation was harder than it could have been; Other";NA;0uxLQZ8O46hw3f37DqF5VFxjTQu7g1XVwhOEnlrljFkvd4v0TesL2NIucC7kvPxSBQ6eAk3XGQ0pVZ;Student (Master, PhD,...);14ef3ok2y8lwy76tq3dq
21;;;;Sometimes;"Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper";NA;NA;Senior academic;fhhplwhjx0yqkwm62ea6
22;;;;Never;NA;Of course;NA;Early Career Academic;swaxtfrwz949z894asqr
23;;;;Never;NA;No, but my Research assistant is;NA;Early Career Academic;5l86flmq9dkdwsax1vjh
24;;;;Never;NA;Of course;NA;Postdoc or non-ternure track Academic;nppgs2pwj76ffn1c2g10
25;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;loZgOTXv8hAbVtO14TBYV8gN22XnkMSCtREyTg3MbwMCfxNrBl320b11;Student (Master, PhD,...);0m2mekqpkt8bru05cfhy
26;;;;Sometimes;Errors in participants balancing to conditions;NA;NA;Postdoc or non-ternure track Academic;04l8pnoy1p67zax4c0w0
27;;;;Sometimes;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;Gb2IG6WpFR7fz1eCTSIqTn8ssAw9fi6Y4XtZbCYoDHqlyMyOzRPljWrvspNc08dpJDGQ12SvO6B2UR1dYC0igEdsnpwNUwKxFiMI;Early Career Academic;awmhzc1k7duoq5fjvmjy
28;;;;Always;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Early Career Academic;6nnv4njwfquofde9je8w
29;;;;Always;"Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Early Career Academic;0qm46red73ontxa7fpcy
2pqked5vawp4soxrdwx9;;;;Never;NA;No, but my Research assistant is;NA;NA;um3zyv5lxwpt74dqpllp
3;;;;Sometimes;"Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over";NA;NA;Student (Master, PhD,...);c6829u396lk36zsl11q3
30;;;;Often;"Important content errors; Errors in the coding of items; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper";NA;NA;Postdoc or non-ternure track Academic;b3ysbopv5q1y0581nl7j
31;;;;Sometimes;"Spelling errors; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper";NA;NA;Senior academic;pnoc8k3wy71wyvaed6ar
32;;;;Rarely;"Errors in the coding of items; Other";NA;gCMewgsu9xUV73x3m2x3ghPhgj0357c7NkC2rI2DehRuqpkMrrOa2EZjCphvgOjtt0N3gdyM3fklFq2sK1mvZeQ41DPSLz;Senior academic;2djwugntaz9f18wurx6q
33;;;;Never;NA;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;8byhmqgk39prrpzs5qs9
34;;;;Often;"Errors in the coding of items; Data preparation was harder than it could have been";NA;NA;Senior academic;bd0ae7j9flsbhnwp4ool
35;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected";NA;NA;Student (Master, PhD,...);lk3esk4zx1c2tu4or5pa
36;;;;Sometimes;"Errors in the coding of items; Data preparation was harder than it could have been; My friends do not have errors in their protocols";NA;NA;Student (Master, PhD,...);3qqsk30vvovykeu2sz2q
37;;;;Rarely;Errors in participants balancing to conditions;NA;NA;Student (Master, PhD,...);z8va779hxbbtextf34gm
38;;;;Sometimes;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;ghH5Rt2n2GrLchBSfJQQUXuaHJLZwQQ0ikNJfUNAJxkhkVc6fsPT2OzOwVOBwJRRIod74bDGByewQxx;Postdoc or non-ternure track Academic;kdy04a5qkmbh5oku4h50
39;;;;Always;"Spelling errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;L129d45HQGlUhOu7NO6c44gJyl6N3xdxmmj6B1YdNVIzpTZhnJhpI2Kin4t25Qb25iwhDo;Postdoc or non-ternure track Academic;l7z2e6fqtzq15ch8tkwv
4;;;;Often;"Important content errors; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper";NA;NA;Senior academic;gb8m0sn6rpnt4wcrqdla
40;;;;Never;NA;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;jx4fv9ddl1c14qr776nq
41;;;;Always;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;14gj1Ch481enYU3wfaeXRUdcZQPgatLoo3pSsbq9D;Early Career Academic;majpp8yt7zd0lwt2h3vs
42;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;2z5owcVaN4pdN9vwsxfm3HDhfR4D0oPNmwQuCfhjmrqwXcgYWkEf8m7HfUTTvcWqzIj;Early Career Academic;qzhy0tnh2hh7oj6qb39x
43;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;A2bG4WnrtBLw6KFD7Wdktkf42aOUtHwY60;Early Career Academic;bmk2wpp6b8bpans5qq8m
44;;;;Sometimes;"Spelling errors; Data not what we expected; My friends do not have errors in their protocols; Other";NA;fNQqNuGCDutHQGVM7IAVNB6qA1ZEN9YHXyhUTFWzxQFzBk3BddfPNQ3IyBodMHi59tz;Student (Master, PhD,...);622ayft9h6824sgfhtzp
45;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other";NA;RvAdTZ7i9aLPjLxJ3d5ug6pjLXhVEwELYaHTSX23t2;Student (Master, PhD,...);5mbg819brlz0t6s4u1mm
46;;;;Sometimes;"Spelling errors; Data preparation was harder than it could have been; My friends do not have errors in their protocols; Other";NA;OdLkiCK8V9sRemoVnZSkCeCEqURmVn0Sf1IRsR1IsoumNbBcpiS9TexEh0FBVL1qV3kp;Postdoc or non-ternure track Academic;gofedo9gucplsj9yc37l
47;;;;Often;"Spelling errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Other";NA;erMrAmA1sMvGBG7d3nQAdK9Eed5JfuHSLhgTOYzJTfD16FP9VokNwc9ElkX61a0rPTtkRivn7yKUQlgT;Senior academic;w8abocl46h3tj181ezvk
48;;;;Never;NA;Of course;NA;Postdoc or non-ternure track Academic;8dbdh2j7a04fvjhs6fas
49;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;KDJwftKQ7l8lqm8ntvcHhDBSPKI;Early Career Academic;g9b1ckjhy91px96s9m9m
5;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;KDO408BcqVjsmy5a26xVPw6Y7EQ8T3F8TUbcNH37oXsT90d6q9Zdr;Senior academic;ocdat6voxerl2v38fy4x
50;;;;Never;NA;No, but my Research assistant is;NA;Student (Master, PhD,...);43gyuef3lzdln71qp6l3
51;;;;Sometimes;Match between hypotheses and data not clear;NA;NA;Early Career Academic;0839xloqmb9a5nt745p7
52;;;;Never;NA;Of course;NA;Postdoc or non-ternure track Academic;r3bjootv471hvrw5a1e7
53;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;gM48YowEmVekk35gcfO3rQ68zFraKaTIjvGzLo5;Student (Master, PhD,...);hzhl7g9dr3l99ubnk03o
54;;;;Never;NA;No, but my Research assistant is;NA;Student (Master, PhD,...);zcxnvgc7667bv3c2yebc
55;;;;Always;"Spelling errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;rwjSqqZSszA0RMYhv00sPTRTUIbEicqByRYvoBOAwPxr;Early Career Academic;3qt1aykzoa8pr5xgr8tg
56;;;;Often;Important content errors;NA;NA;Postdoc or non-ternure track Academic;ylkshoaa77posda29d1p
57;;;;Never;NA;Of course;NA;Early Career Academic;7sjl27m2kyyjjs5c0xxa
58;;;;Always;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; My friends do not have errors in their protocols; Other";NA;m4b0fdakMCVqPBJ9WvSE7U47uRVJjUNIR9t8J8AMFT;Student (Master, PhD,...);cw2hscdqhm3lclezymb9
59;;;;Never;NA;Of course;NA;Early Career Academic;eovopsqq1rdg1t2hn3f9
6;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;Ts5k2rZwhecoVKNfxSFEwCWSDF13rRu;Student (Master, PhD,...);qwv5j450k6upyrvbx5d9
60;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;RM;Early Career Academic;0g2s31ys111vx34g2lhj
61;;;;Often;"Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over";NA;NA;Postdoc or non-ternure track Academic;1fb78b5uqq4o9hu5j0uq
62;;;;Sometimes;"Errors in the coding of items; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Early Career Academic;00ll2n8g1am8xdgugnen
63;;;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;HcZoA09u1s2xQ4rz1v;Postdoc or non-ternure track Academic;6zkn7c8sq2gzl9ngc7w3
64;;;;Sometimes;"Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;tDSsKDjPDHZkKibUpCYRDWB9rG56;Student (Master, PhD,...);8n92brazjlqs83o68bpp
65;;;;Often;"Important content errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear";NA;NA;Postdoc or non-ternure track Academic;453gx8mb89zu3q38s1sb
66;;;;Rarely;Other;NA;jTzz2lfyYkYB1K6aklDjquuhPmZOCldKmvRkowbQDXEN7ToTC2Gx41MZCfAbhOHNh6giEQ4mkUHd;Senior academic;ln5n4yok7sjgfsqfhk7w
67;;;;Sometimes;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;lpwjC1yG6ViS0rE66fXNAbNUUsoAlkg5h7lQ0quUGlkRRUmI8216kawk8y1d1rcySLCZJSXyYtCO1wCr7yQypg;Senior academic;f6l0omomh2wzg9w96cqf
68;;;;Never;NA;Of course;NA;Senior academic;zlykj3mx1s394uzyl13l
69;;;;Sometimes;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other";NA;VexQzLBfy2aONzF;Student (Master, PhD,...);4h5yf8h44xwedk0u97mp
6jbc0fa097qswtmh61gr;;;;Sometimes;My friends do not have errors in their protocols;NA;NA;NA;xzbtblarnyn79rjef4mz
7;;;;Rarely;"Data preparation was harder than it could have been; Errors so bad that my friend had to start over";NA;NA;Senior academic;neee4t21jcy57d2x3puf
70;;;;Sometimes;"Match between hypotheses and data not clear; My friends do not have errors in their protocols";NA;NA;Postdoc or non-ternure track Academic;4ef4nc9tn96q9hmtm1sn
71;;;;Rarely;"Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper";NA;NA;Student (Master, PhD,...);mos05l4j5u4x6jnabulg
72;;;;Often;"Match between hypotheses and data not clear; My friends do not have errors in their protocols";NA;NA;Postdoc or non-ternure track Academic;yprq21lphp7b6xkp3onx
73;;;;Sometimes;"Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other";NA;4U9NIyIkfCR8hqfP4v0wbvi;Student (Master, PhD,...);xfey9452jah7byv9mlza
74;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;KTFJ1OiDrlERNtHGiChNezIqX7tBaM1Uj;Early Career Academic;le0uznjx1yweja5vamfc
75;;;;Never;NA;Of course;NA;Student (Master, PhD,...);da2fjjsokwrrz7y37e1b
76;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other";NA;KTFJ1OiDrlERNtHGiChNezIqX7tBaM1Uj;Early Career Academic;clvrul9m5s1mstj7p433
77;;;;Always;"Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;gzXxfIMAYVCdgdM66BE4oalL0o0CVKLX;Student (Master, PhD,...);g382bo7k9tlm3mb29mkg
78;;;;Never;NA;No, but my Research assistant is;NA;Early Career Academic;2go2nknjrdybwvwosv3s
79;;;;Never;NA;Of course;NA;Student (Master, PhD,...);gsr4j7314n6b6sad8q5g
8;;;;Sometimes;Errors so bad that my friend had to start over;NA;NA;Student (Master, PhD,...);stt4svxpr8emvtcuwgqy
80;;;;Never;NA;Of course;NA;Postdoc or non-ternure track Academic;96x6pn8rrn0gz2fr665w
81;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;WV75QB1JSHnps88HLKAYVZYtzwOuBsf3XxPsm2pebyO;Postdoc or non-ternure track Academic;1w26ek0kmbrxe4y2jo68
82;;;;Sometimes;Errors in participants balancing to conditions;NA;NA;Early Career Academic;f4pjwu1o91sbfofd0ouw
83;;;;Always;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over";NA;NA;Postdoc or non-ternure track Academic;83bvr56r201xrbgmc0k3
84;;;;Rarely;"Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";NA;NA;Postdoc or non-ternure track Academic;f4qwa39gkpxtvvk0l5jm
85;;;;Always;"Spelling errors; Important content errors";NA;NA;Early Career Academic;nmzoz0cr057ccp0lujof
86;;;;Sometimes;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;S1VEVTtMincRoLW;Senior academic;kmoc5dsg1488yuax95ya
87;;;;Often;"Errors in the coding of items; Data preparation was harder than it could have been";NA;NA;Senior academic;xtqpzngdl9a4bx9hcea7
88;;;;Rarely;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; My friends do not have errors in their protocols; Other";NA;uij8vyfah9Thv73XaKvap7yEEexsaB3HjQwm1uec4znjCUmOxd6j5FMiO7apeeMXD4BSbqlKdLDeJfALkYh3FR9;Postdoc or non-ternure track Academic;5s1emh8rzqdpe36znjlq
89;;;;Often;"Important content errors; Errors in participants balancing to conditions; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;VNP0XQ5Ya429RAxJcQHLNxJeHma3VSTMi7mdndKdvZMRrcnia2KzXZS5n0SAGuE3I0IsfS3dRGy5m7s8O5N;Postdoc or non-ternure track Academic;dh9cmk7wguqc4kkvl3kn
9;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;QQwSpAvFKpe0o76TE68ZMTZ39o94BfTgnmVDBF3jQgjVm1SJ;Senior academic;anyw0x0lssg17ydjw41r
90;;;;Never;NA;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;mjs3l872nxw4zo42e1py
91;;;;Often;"Errors in the coding of items; Data not what we expected; Errors so bad that my friend had to start over; Other";NA;MlN6fHk2G6KWqMvOBydDkoQJpcdFulSjYRJrwb3xYsmM3oKxViJ1UqIPd4ickc8gLIBsE3EhsyKITVVzIUVV3BMwSULA;Postdoc or non-ternure track Academic;lxg1uzv10umkfjdwhvmw
92;;;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;saLpz0Zqg0CcCu29ikaAXO0aDWtcoyP;Early Career Academic;ea53b2hzha53gvlhh9t2
93;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;iChRQLX6ltVsRwaaILUNbaFKHDUEfNwqCOgGqYA6HkgklMR9p9VQbBsU3jHUM;Postdoc or non-ternure track Academic;uy6hg1f5br7yoq2m7t7o
94;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear; My friends do not have errors in their protocols";NA;NA;Early Career Academic;juv7g3349npvkgg6ave0
95;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;XSk804RQ4JXkQglItoj056NDe9UTF;Early Career Academic;kv43yv9dluqk70menjun
96;;;;Always;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Other";NA;ZeUjc02M9CSukuIKgM5;Early Career Academic;vnom9ex5bsu0w7rqujvg
97;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;byEbfRZiK2au0KmhdXymCYhZCzBKX9Gwax0yuEpIKKTe1dWjOv7mjajdXnZQ9Ccuqp3dlo;Senior academic;bz1krnh81ye5dem7ph4p
98;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;LnCUy5quaxBCxHXYmCeQgqgK5KIM8WxvMOmQChy7NtUtMuuY9chnYm480Dv9pgqMhp;Senior academic;xfpkpx4cwphq3vs6ewot
99;;;;Sometimes;"Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;XlYQScEFwmc7TH8cokv1CZLIH8h;Early Career Academic;sxdkdb7qujoayct9poq5
9dgvdb8jnmkr1vddfgvf;;;NA;NA;NA;NA;NA;NA;NA
a3mxta3zg3ddh67swze1;;;;Never;NA;No, but my Research assistant is;NA;NA;6pxggjgexvw1vy3bnsgn
b12dde0ec0ms936w94dm;;;;Rarely;Errors so bad that my friend had to start over;NA;NA;Senior academic;wcclq2rr0vdx8n4qbopx
dg1bytth91ycks23anmp;;;NA;NA;NA;NA;NA;NA;NA
esphjqrvfssms15z58lf;;;NA;NA;NA;NA;NA;NA;NA
hcynrw1w3as9nbm2vcj2;;;NA;NA;NA;NA;NA;NA;NA
hgprnh8su6c7qt4jhng0;;;NA;NA;NA;NA;NA;NA;NA
hjfzle0c95r3owqk9wkb;;;NA;NA;NA;NA;NA;NA;NA
hlp9o34g0xpdt7n2vc2z;;;NA;NA;NA;NA;NA;NA;NA
lp4xgkzfl08a9g4ln6cy;;;NA;NA;NA;NA;NA;NA;NA
negx101x8pyt3m1pey56;;;NA;NA;NA;NA;NA;NA;NA
nfkdpeke9upnr441gjol;;;NA;NA;NA;NA;NA;NA;NA
oh58scusso9f6rtph8bk;;;NA;NA;NA;NA;NA;NA;NA
ojnumx2saz28r671fgws;;;;Never;NA;No, but my Research assistant is;NA;Early Career Academic;tmw3wu68wyfhwljdhaqr
s2xakns96m77roevlsao;;;NA;NA;NA;NA;NA;NA;NA
xjgy14uog6r2k3wb8n5h;;;NA;NA;NA;NA;NA;NA;NA
xx1w7em2h6fn32r39q4k;;;NA;NA;NA;NA;NA;NA;NA
