short_name,Nombre,Descripcion
AIM,Grupos Socieeconómicos,Modelo que permite segmentar y clasificar socioeconómicamente a los individuos.
BART,Balloon Analogue Risk Task,Medida de riesgo individual mediante el análisis de las condultas del individuo
BNT,Berlin Numeracy test,"Breve, flexible y de fácil aplicación. Mide habilidades numéricas"
Bank,Detalles bancarios,Detalles bancarios para realizar transferencia a participante por su participación en experimento
CAS,COVID-19 anxiety scale,Evalúa las fluctuaciones en los niveles de ansiedad causados ​​​​por COVID-19
CEL,Cuestionario Estilos de Liderazgo,"Mide los estilos de liderazgo según tres criterios: Directivo, Democratico y Derivativo"
CIT,Test de inferencia contrafactual,Prueba de selección múltiple que evalúa inferencia contrafactual.
COVIDCONTROL,Covid related Questions,Busca conocer los cambios que han ocurrido en la vida del entrevistado desde la aparición del COVID-19.
CRS,The Centrality of Religiosity Scale,Mide la intensidad general de cinco dimensiones básicas de la religiosidad.
CRT7,Cognitive reflection test,Mide la tendencia a anular una alternativa de respuesta prepotente que es incorrecta y participar en una reflexión adicional que conduce a la respuesta correcta.
CRTMCQ4,Cognitive reflection test - 4 alternatives,Mide la tendencia a anular una alternativa de respuesta prepotente que es incorrecta y participar en una reflexión adicional que conduce a la respuesta correcta.
CRTv,Verbal Cognitive Reflection Test,Mide la capacidad de suprimir una intuición inicial (incorrecta) y reflexionar cognitivamente.
CS,Escala de Compasión,Mide la Compasión hacia otros
Consent,Consentimiento Informado de Participación,Consentimiento informado estandard
ConsentHTML,Consentimiento Informado de Participación,Consentimiento informado estandard
Cov19Q,Cuestionario Covid 19,Evalúa dimensiones relacionadas al covid-19
DASS21,Escalas de depresión ansiedad y estrés,"Mide escala de ansiedad, estrés y depresión (autoinforme)"
DEBRIEF,Debrief at end of experiment,Informe presentado al final del experimento
DEMOGR,Demographic scale,Ejemplo de tarea donde se recoje información demográfica del encuestado
EAR,Escala de Autoestima de Rosenberg,Instrumento unidimensional que mide la autoestima.
ERQ,Emotion Regulation Questionnaire,Evalua dos estrategias de regulación emocional (autoinforme)
ESM,Escala Subjetiva de Memoria,Evalúa la memoria del paciente directamente con él/ella
ESV,Empathy Stimulus Validation,Evalúa la interacción entre 2 individuos (uno con Alzeimer)
ESZ,Escala abreviada de Sobrecarga del Cuidador de Zarit,Mide la sobrecarga de los cuidadores de personas con Demencia (Autoinforme)
EmpaTom,"Empatia, Teoria de la mente y Compasión",Tarea de video social que permite la manipulación y evaluación independiente de la empatía y compasión
GBS,Global Beliefs Screening,Evalúa las creencias del entrevistado
GHQ12,12-item General health questionnaire,Detecta personas con trastorno psiquiátrico diagnosticable
Goodbye,Goodbye task,Despedida del experimento. Entrega el código aleatorio de participación
HRPVB,High risk perception of vaginal birth,Preguntas para evaluar el nivel de riesgo percibido antes de ver la información de la prueba INFCONS
